6
 num     #instances         #bytes  class name
----------------------------------------------
   1:         38763       11611984  [B
   2:         54337        7033456  [C
   3:          3178        1944832  [I
   4:         28996         695904  java.lang.String
   5:          6500         585232  [Ljava.lang.Object;
   6:          3630         404432  java.lang.Class
   7:          7086         226752  java.util.concurrent.ConcurrentHashMap$Node
   8:          2165         169976  [S
   9:          2022         113232  java.util.zip.ZipFile$ZipFileInputStream
  10:          6993         111888  java.lang.Object
  11:          2437          97480  java.lang.ref.Finalizer
  12:          1067          93896  java.lang.reflect.Method
  13:          2263          72416  java.util.HashMap$Node
  14:          1391          66768  java.util.HashMap
  15:            61          64368  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  16:          1069          59864  jdk.internal.org.objectweb.asm.Item
  17:          2411          57864  java.lang.StringBuilder
  18:           566          54336  java.util.jar.JarFile$JarFileEntry
  19:           484          52320  [Ljava.util.HashMap$Node;
  20:          2213          49496  [Ljava.lang.Class;
  21:           729          46656  java.net.URL
  22:           636          45792  java.lang.reflect.Field
  23:            78          41184  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpscAtomicArrayQueue
  24:            42          37920  [Ljdk.internal.org.objectweb.asm.Item;
  25:           468          37440  java.util.zip.ZipEntry
  26:           896          35840  java.lang.ClassNotFoundException
  27:           869          34760  java.util.LinkedHashMap$Entry
  28:           848          33920  java.util.TreeMap$Entry
  29:          1345          32280  java.net.URLClassLoader$1
  30:           369          29520  java.lang.reflect.Constructor
  31:           433          27712  io.netty.buffer.PoolSubpage
  32:           584          26528  [Ljava.lang.String;
  33:           619          24760  java.lang.ref.SoftReference
  34:           765          24480  java.util.AbstractList$Itr
  35:           411          23016  java.lang.invoke.MemberName
  36:           544          21760  java.lang.invoke.MethodType
  37:           510          20400  java.util.WeakHashMap$Entry
  38:           619          19808  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  39:           816          19584  sun.misc.ProxyGenerator$ConstantPool$IndirectEntry
  40:           400          19200  gnu.trove.THashMap
  41:           785          18840  java.util.ArrayList
  42:            75          16800  jdk.internal.org.objectweb.asm.MethodWriter
  43:          1045          16720  java.util.HashSet
  44:           511          16352  java.util.Hashtable$Entry
  45:           249          15936  java.util.stream.ReferencePipeline$2
  46:           495          15840  java.security.CodeSource
  47:           274          15344  java.lang.Class$ReflectionData
  48:           468          14976  java.io.File
  49:           466          14912  java.util.ArrayList$Itr
  50:           456          14592  sun.misc.URLClassPath$JarLoader$2
  51:           254          14224  java.util.stream.ReferencePipeline$Head
  52:           550          13200  java.lang.StringBuffer
  53:           379          12128  org.jetbrains.jps.model.library.impl.JpsLibraryRootImpl
  54:           223          11800  [Ljava.lang.reflect.Method;
  55:           368          11776  org.jetbrains.jps.model.impl.JpsElementCollectionImpl
  56:           284          11360  sun.nio.fs.WindowsPath
  57:           200          11200  java.lang.Package
  58:           138          11088  [Ljava.util.WeakHashMap$Entry;
  59:           341          10912  sun.misc.FDBigInteger
  60:           187          10472  java.util.LinkedHashMap
  61:           186          10416  java.util.zip.ZipFile$ZipFileInflaterInputStream
  62:            25          10320  [Lio.netty.buffer.PoolSubpage;
  63:           628          10048  java.lang.Short
  64:           248           9920  java.util.HashMap$EntrySpliterator
  65:           389           9336  com.intellij.util.SmartList
  66:           282           9024  java.lang.ref.WeakReference
  67:           376           9024  org.jetbrains.jps.model.ex.JpsElementContainerImpl
  68:           369           8856  org.apache.log4j.CategoryKey
  69:           100           8808  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  70:           273           8736  java.lang.invoke.LambdaForm$Name
  71:           248           7936  java.util.stream.FindOps$FindOp
  72:           320           7680  java.util.jar.Attributes$Name
  73:           159           7632  java.nio.HeapByteBuffer
  74:           124           7440  [Ljava.lang.ref.SoftReference;
  75:           455           7280  sun.net.www.ParseUtil
  76:            43           7264  [Ljava.util.Hashtable$Entry;
  77:           126           7056  sun.nio.cs.UTF_8$Encoder
  78:           138           6624  java.util.WeakHashMap
  79:           116           6496  sun.misc.URLClassPath$JarLoader
  80:           100           6400  java.util.jar.JarFile
  81:           257           6168  java.lang.Long
  82:           104           6144  [J
  83:            36           6048  jdk.internal.org.objectweb.asm.ClassWriter
  84:           187           5984  com.sun.org.apache.xerces.internal.xni.QName
  85:           249           5976  java.util.stream.ReferencePipeline$2$1
  86:           248           5952  java.util.stream.FindOps$FindSink$OfRef
  87:            86           5504  sun.nio.ch.FileChannelImpl
  88:           137           5480  sun.nio.cs.UTF_8$Decoder
  89:           108           5184  java.nio.HeapCharBuffer
  90:            81           5184  jdk.internal.org.objectweb.asm.Label
  91:           126           5040  java.io.FileDescriptor
  92:           154           4928  java.lang.ref.ReferenceQueue
  93:           100           4800  java.lang.invoke.LambdaForm
